trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.7, 'e': 0.5048858887870696}",20,0,-63.342567907721524,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
69,False,"{'a': 0.7, 'e': 0.4998370298991989}",20,0,-108.97108301694938,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.49483865960020695}",30,0,-77.24289442761958,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.7, 'e': 0.4898902730042049}",20,0,-50.1253361899252,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
72,False,"{'a': 0.7, 'e': 0.48499137027416284}",25,4,-41.109817109878385,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.4801414565714212}",25,0,-61.21451573190366,"{0: 17, 1: 4, 2: 1, 3: 3, 4: 0}",0
74,False,"{'a': 0.7, 'e': 0.47534004200570695}",20,15,0.866513731219634,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.4705866415856499}",35,13,-121.21888289677638,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 3}",1
76,False,"{'a': 0.7, 'e': 0.46588077516979337}",30,0,-12.14683400801211,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.46122196741809546}",25,0,-137.087707255375,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
78,False,"{'a': 0.7, 'e': 0.4566097477439145}",25,0,-54.57337103315723,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.7, 'e': 0.45204365026647536}",35,0,-53.76017281083271,"{0: 29, 1: 2, 2: 1, 3: 2, 4: 1}",0
80,False,"{'a': 0.7, 'e': 0.4475232137638106}",25,0,-141.82725447651285,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
81,False,"{'a': 0.7, 'e': 0.4430479816261725}",20,0,-41.719527108938074,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.43861750180991077}",20,0,-70.88208354144918,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.7, 'e': 0.43423132679181164}",20,0,-5.681432348829371,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.4298890135238935}",25,11,-1.0308442676207885,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.4255901233886546}",25,0,-24.0388636041123,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.421334222154768}",20,12,3.8530170939601325,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.41712087993322033}",25,1,-65.46918313869477,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 1}",1
88,False,"{'a': 0.7, 'e': 0.41294967113388814}",25,12,16.95712913255511,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.40882017442254925}",20,0,-67.54225165134007,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.4047319726783238}",20,0,4.769582199891948,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.7, 'e': 0.40068465295154054}",25,0,-88.85863339221358,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.7, 'e': 0.3966778064220251}",20,0,17.5070989552173,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.7, 'e': 0.39271102835780486}",20,0,-34.907060892651415,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.7, 'e': 0.3887839180742268}",20,6,-34.99643881106689,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.7, 'e': 0.38489607889348454}",25,7,-23.882769888327502,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.38104711810454966}",25,9,21.93793627647076,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.37723664692350417}",20,10,-8.234461257112017,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.37346428045426916}",25,0,-55.85963871548453,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.7, 'e': 0.36972963764972644}",25,16,-28.61043940815195,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.7, 'e': 0.3660323412732292}",30,0,17.322819981502107,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.3623720178604969}",20,7,-58.058962838121005,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.7, 'e': 0.3587482976818919}",30,20,17.899019999483556,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.355160814705073}",20,13,-8.876826681291567,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.35160920655802225}",30,13,-65.40989475564342,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
105,False,"{'a': 0.7, 'e': 0.348093114492442}",30,11,-31.838845248300665,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.7, 'e': 0.3446121833475176}",20,12,6.722556528034019,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.34116606151404244}",20,10,19.00098736514498,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.337754400898902}",30,11,10.228942827703959,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.334376856889913}",20,3,-18.87222394518315,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.7, 'e': 0.33103308832101386}",20,0,5.671284877623947,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.7, 'e': 0.3277227574378037}",20,7,0.30327114205336114,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.3244455298634257}",25,0,-6.948291476910204,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.7, 'e': 0.3212010745647914}",30,12,-21.236815263029634,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.3179890638191435}",20,0,-60.72300446218583,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.31480917318095203}",20,2,15.39653050755,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3116610814491425}",20,11,6.349898544934438,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.30854447063465107}",20,14,10.81012775075525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.3054590259283046}",30,18,-2.370162285416061,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.30240443566902153}",20,0,-38.71680932573589,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.7, 'e': 0.2993803913123313}",20,3,14.356335863381634,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.296386587399208}",25,8,-12.047632404719378,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.2934227215252159}",20,0,13.193082918364528,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.7, 'e': 0.29048849430996376}",25,2,-108.31115099109535,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 2}",1
124,False,"{'a': 0.7, 'e': 0.2875836093668641}",30,14,21.82751525074103,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.28470777327319546}",20,9,20.235394226166584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.2818606955404635}",30,13,-17.31755097576958,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.7, 'e': 0.27904208858505886}",20,3,18.503068697034607,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.2762516676992083}",20,15,2.0014597865798,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.2734891510222162}",30,15,-28.401175295307794,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.7, 'e': 0.27075425951199406}",30,0,21.33102641749686,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.2680467169168741}",25,0,-2.513283356767265,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.7, 'e': 0.26536624974770534}",20,0,-18.29073201768478,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.7, 'e': 0.2627125872502283}",20,9,16.055970623976023,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.26008546137772603}",20,13,14.057153901009777,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.25748460676394874}",20,11,10.535207843130891,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963093}",25,13,-8.89693296123501,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.2523606630893462}",30,18,23.969635913015356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.2498370564584527}",20,13,11.858810206784376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.24733868589386818}",25,9,17.889037507718,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24486529903492948}",30,9,-7.899929014155928,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.2424166460445802}",20,2,-44.30935576454481,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
142,False,"{'a': 0.7, 'e': 0.2399924795841344}",30,22,12.856697983262038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",20,6,20.70630434228888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.23521662924041012}",20,12,5.987990309382763,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",20,15,-2.843504336562667,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
